SN,Material,"Reel Length
(m)",Description,"Diameter
(cm)",Reel Width,"Container
Height","No. of Layer
(reel)","Container
length (cm)","Container
width (cm)","Container
height (cm)","No. of reel
Per Line","Formula
for layer","Total Number of reel
for transfer per container"
11,10090,7974.41,Board 76181/9L-1308 Duplex,165,1.308,2.48,1,"1,211.00",234,239,7,1,7
12,10781,7971.48,Board 76181/9L-1345 Duplex,165,1.345,2.48,1,"1,211.00",234,239,7,1,7
22,10764,5368.92,Board 76232/9L-1355 Duplex,170,1.355,2.48,1,"1,211.00",234,239,7,1,7
23,10651,5687.69,Board 76238/4L-1355 Duplex,160,1.355,2.48,1,"1,211.00",234,239,8,1,8
31,10975,4700,Board 99235/6U-1355 trial,105,1.355,2.48,1,"1,211.00",234,239,12,1,12
35,10814,5457.14,"Trial board CB1-200- 1,308 mm CBOB",160,1.308,2.48,1,"1,211.00",234,239,8,1,8
36,10818,6062.77,"Trial board CB12-125- 1,345 mm CBOB",160,1.345,2.48,1,"1,211.00",234,239,8,1,8
42,10847,5901,"Trial board CB3-1000- 1,355 mm CBOB",170,1.355,2.48,1,"1,211.00",234,239,7,1,7
1,10280,6559.18,Board 71193/6V-1230 Triplex,160,1.23,2.48,2,"1,211.00",234,239,8,2,16
2,10509,6241.44,Board 71205/6V-1100 Triplex,160,1.1,2.48,2,"1,211.00",234,239,8,2,16
3,10412,6241.44,Board 71205/6V-1156 Triplex,160,1.156,2.48,2,"1,211.00",234,239,8,2,16
4,10775,7971.48,Board 76181/9L-1034 Duplex,165,1.034,2.48,2,"1,211.00",234,239,7,2,14
5,10459,7960.72,Board 76181/9L-1092 Duplex,165,1.092,2.48,2,"1,211.00",234,239,7,2,14
6,10777,7971.48,Board 76181/9L-1112 Duplex,165,1.112,2.48,2,"1,211.00",234,239,7,2,14
7,10091,7955.81,Board 76181/9L-1142 Duplex,165,1.142,2.48,2,"1,211.00",234,239,7,2,14
8,10778,7971.48,Board 76181/9L-1216 Duplex,165,1.216,2.48,2,"1,211.00",234,239,7,2,14
9,10588,7955.08,Board 76181/9L-1220 Duplex,165,1.22,2.48,2,"1,211.00",234,239,7,2,14
10,10544,7955.08,Board 76181/9L-1230 Duplex,165,1.23,2.48,2,"1,211.00",234,239,7,2,14
13,10058,6790.97,Board 76198/9L-1100,160,1.1,2.48,2,"1,211.00",234,239,8,2,16
14,10035,6844.98,Board 76198/9L-1156,160,1.156,2.48,2,"1,211.00",234,239,8,2,16
15,10645,6844.98,Board 76198/9L-1166 Duplex,160,1.166,2.48,2,"1,211.00",234,239,8,2,16
16,10308,6342.19,Board 76199/6V-1034 Duplex,165,1.034,2.48,2,"1,211.00",234,239,7,2,14
17,10665,6158.8,board 76206/6V-1000 duplex,160,1,2.48,2,"1,211.00",234,239,8,2,16
18,10761,5376.24,Board 76232/9L-1060 Duplex,170,1.06,2.48,2,"1,211.00",234,239,7,2,14
19,10655,5343.18,Board 76232/9L-1204,160,1.204,2.48,2,"1,211.00",234,239,8,2,16
20,10660,5343.18,Board 76232/9L-1258,160,1.258,2.48,2,"1,211.00",234,239,8,2,16
21,10772,5348.65,Board 76232/9L-1274 Duplex coated,160,1.274,2.48,2,"1,211.00",234,239,8,2,16
24,10134,5428.95,Board 76240/9V-1058 Duplex,160,1.058,2.48,2,"1,211.00",234,239,8,2,16
25,10480,7899.35,Board 79160/6U-1034,165,1.034,2.48,2,"1,211.00",234,239,7,2,14
26,10537,7899.35,Board 79160/6U-1092,165,1.092,2.48,2,"1,211.00",234,239,7,2,14
27,10481,7899.35,Board 79160/6U-1142,165,1.142,2.48,2,"1,211.00",234,239,7,2,14
28,10532,7899.35,Board 79160/6U-1230,165,1.23,2.48,2,"1,211.00",234,239,7,2,14
29,10484,6384.46,Board 79173/6U-1156,160,1.156,2.48,2,"1,211.00",234,239,8,2,16
30,10430,6384.46,Board 79173/6U-1230,160,1.23,2.48,2,"1,211.00",234,239,8,2,16
32,10811,6972.32,"Trial board CB1-125- 1,230 mm CBOB",160,1.23,2.48,2,"1,211.00",234,239,8,2,16
33,10812,6796.51,"Trial board CB1-150- 1,092 mm CBOB",170,1.092,2.48,2,"1,211.00",234,239,7,2,14
34,10813,5436.69,"Trial board CB1-180- 1,220 mm CBOB",160,1.22,2.48,2,"1,211.00",234,239,8,2,16
37,10819,4884.06,"Trial board CB12-150- 1,216 mm CBOB",155,1.216,2.48,2,"1,211.00",234,239,8,2,16
38,10821,4864.24,"Trial board CB12-180- 1,034 mm CBOB",160,1.034,2.48,2,"1,211.00",234,239,8,2,16
39,10822,5670.44,"Trial board CB12-200- 1,112 mm CBOB",160,1.112,2.48,2,"1,211.00",234,239,8,2,16
40,10815,5436.59,"Trial board CB1-250- 1,142 mm CBOB",175,1.142,2.48,2,"1,211.00",234,239,7,2,14
41,10831,4528,"Trial board CB2-500- 1,204 mm CBOB",146,1.204,2.48,2,"1,211.00",234,239,8,2,16
43,10844,4750.48,"Trial board CB3-500- 1,061 mm CBOB",160,1.061,2.48,2,"1,211.00",234,239,8,2,16
44,10845,5518.63,"Trial board CB3-750- 1,120 mm CBOB",175,1.12,2.48,2,"1,211.00",234,239,7,2,14
45,10827,5274.79,"Trial board CB7-200- 1,156 mm CBOB",160,1.156,2.48,2,"1,211.00",234,239,8,2,16
46,10829,5200,"Trial board CB7-300- 1,100 mm CBOB",160,1.1,2.48,2,"1,211.00",234,239,8,2,16
47,10830,6784.38,"Trial board CB7-330- 1,166 mm CBOB",160,1.166,2.48,2,"1,211.00",234,239,8,2,16
48,10839,5107.5,"Trial board CF2-500- 1,258 mm CBOB",160,1.258,2.48,2,"1,211.00",234,239,8,2,16
49,10840,4460.7,"Trial board CF2-750- 1,058 mm CBOB",160,1.058,2.48,2,"1,211.00",234,239,8,2,16
50,10843,5801.05,"Trial board CX2-1000- 1,274 mm CBOB",160,1.274,2.48,2,"1,211.00",234,239,8,2,16
